日期,标题,分数
0216am,立足当前放眼长远 习近平周密部署战“疫”.txt,11.81736812
0216am,湖北省新冠肺炎疫情情况 疑似病例首次未见通报中.txt,54.54043331
0216am,美媒追问湖北为何换帅 我大使回应.txt,941.7407629
0216am,运-20飞抵武汉后，外国媒体都“不淡定”了.txt,401.771245
0216pm,国新办发布会开到武汉 王贺胜新身份首次亮相.txt,137.2753877
0216pm,立足当前放眼长远 习近平周密部署战“疫”.txt,11.81736812
0216pm,六问武汉病毒研究专家:新冠病毒为何如此狡猾诡异.txt,3.898263415
0216pm,美媒追问湖北为何换帅 我大使回应.txt,941.7407629
0216pm,运-20飞抵武汉后，外国媒体都“不淡定”了.txt,401.771245
0217am,武汉提出“决战””歼灭战” 孝感发起全面总攻.txt,294.2013624
0217am,六问武汉病毒研究专家:新冠病毒为何如此狡猾诡异.txt,3.898263415
0217am,“战疫”同时 中国已在谋划这5件大事.txt,301.9876931
0217am,运-20飞抵武汉后，外国媒体都“不淡定”了.txt,401.771245
0217pm,六问武汉病毒研究专家:新冠病毒为何如此狡猾诡异.txt,3.898263415
0217pm,总攻，捷报！湖北首地清零.txt,153.4407339
0217pm,运-20飞抵武汉后，外国媒体都“不淡定”了.txt,401.771245
0218am,武汉采取最严防疫措施:不服从管控可采取强制措施.txt,516.8460356
0218am,非常时期 习近平这些话传递战“疫”必胜决心.txt,72.9702947
0218am,总攻，捷报！湖北首地清零.txt,153.4407339
0218pm,"""全国优秀县委书记""火线履新省政府 今天奔赴湖北.txt",174.6030066
0218pm,疫情还会出现新高峰吗？钟南山的最新判断来了.txt,141.5661852
0218pm,总攻，捷报！湖北首地清零.txt,153.4407339
0218pm,应勇去疫情严重的黄冈、孝感 问了三个问题.txt,150.2134675
0219am,世卫专家没去武汉，是中国捂了盖子？.txt,402.1505874
0219am,坚决打赢疫情防控阻击战 中国加速.txt,392.6777828
0219am,"""全国优秀县委书记""火线履新省政府 今天奔赴湖北.txt",174.6030066
0219am,疫情还会出现新高峰吗？钟南山的最新判断来了.txt,141.5661852
0219am,高福回应争议：不能去网络吵架 在研究狡猾病毒.txt,569.2898058
0219am,应勇去疫情严重的黄冈、孝感 问了三个问题.txt,150.2134675
0219pm,国家卫健委印发新型冠状病毒肺炎诊疗方案(试行第六版).txt,348.5834448
0219pm,"""全国优秀县委书记""火线履新省政府 今天奔赴湖北.txt",174.6030066
0219pm,世卫专家来华为啥不去武汉？联合国官员这样说.txt,83.17060569
0219pm,疫情还会出现新高峰吗？钟南山的最新判断来了.txt,141.5661852
0219pm,应勇去疫情严重的黄冈、孝感 问了三个问题.txt,150.2134675
0220am,国家卫健委印发新型冠状病毒肺炎诊疗方案(试行第六版).txt,348.5834448
0220am,高福、石正丽等专家呼吁重新命名新冠病毒.txt,223.0405062
0220am,世卫专家来华为啥不去武汉？联合国官员这样说.txt,83.17060569
0220am,这场战“疫” 习近平特别关心这个中坚力量.txt,249.7154623
0220pm,国家卫健委印发新型冠状病毒肺炎诊疗方案(试行第六版).txt,348.5834448
0220pm,世卫专家来华为啥不去武汉？联合国官员这样说.txt,83.17060569
0221am,这一周，武汉变了！.txt,295.9828642
0221pm,湖北：新冠肺炎疫情统计不允许核减已确诊的病例.txt,5.936804419
0221pm,因任城监狱疫情防控不力 山东省司法厅厅长被免职.txt,19.19749654
0221pm,中央政治局召开会议 研究新冠肺炎疫情防控工作.txt,433.2539695
0221pm,归零！全国14地新增病例为0.txt,34.67735764
0222am,湖北：新冠肺炎疫情统计不允许核减已确诊的病例.txt,5.936804419
0222am,因任城监狱疫情防控不力 山东省司法厅厅长被免职.txt,19.19749654
0222am,中共中央政治局召开会议 研究新冠肺炎疫情防控工作.txt,430.8903222
0222am,中央政治局召开会议 研究新冠肺炎疫情防控工作.txt,433.2539695
0222am,归零！全国14地新增病例为0.txt,34.67735764
0222am,因监狱疫情，山东湖北浙江这些干部被问责.txt,36.21785093
0222pm,湖北：新冠肺炎疫情统计不允许核减已确诊的病例.txt,5.936804419
0222pm,因任城监狱疫情防控不力 山东省司法厅厅长被免职.txt,19.19749654
0222pm,中央政治局召开会议 研究新冠肺炎疫情防控工作.txt,433.2539695
0222pm,归零！全国14地新增病例为0.txt,34.67735764
0222pm,独家揭秘中央赴湖北指导组在湖北的27天.txt,39.73813101
0222pm,非常时期，湖北省委书记见了两个人.txt,230.7228008
0223am,独家揭秘中央赴湖北指导组在湖北的27天.txt,39.73813101
0223am,非常时期，湖北省委书记见了两个人.txt,230.7228008
0223pm,中央：各地援湖北医疗队一线医务人员薪酬水平提高2倍.txt,239.5730882
0223pm,独家揭秘中央赴湖北指导组在湖北的27天.txt,39.73813101
0223pm,非常时期，湖北省委书记见了两个人.txt,230.7228008
0224am,中央：各地援湖北医疗队一线医务人员薪酬水平提高2倍.txt,239.5730882
0224pm,武汉保卫战.txt,32.61846039
0224pm,战疫表现突出，市长获提拔重用.txt,202.2500597
0224pm,中央：各地援湖北医疗队一线医务人员薪酬水平提高2倍.txt,239.5730882
0224pm,武汉市委书记杀暗访“回马枪”，随后19人被问责.txt,133.7538682
0225am,武汉保卫战.txt,32.61846039
0225am,战疫表现突出，市长获提拔重用.txt,202.2500597
0225am,微视频：武汉，等你重启.txt,26.13742712
0225am,武汉市委书记杀暗访“回马枪”，随后19人被问责.txt,133.7538682
0225am,武汉归来后，世卫专家组长说：世界欠你们的！.txt,276.1038479
0225am,新冠病毒会长期存在？钟南山回应了.txt,63.00251478
0225pm,武汉保卫战.txt,32.61846039
0225pm,战疫表现突出，市长获提拔重用.txt,202.2500597
0225pm,国务院：免征湖北境内小规模纳税人增值税3个月 其他地区降至1%.txt,180.1172975
0225pm,武汉市委书记杀暗访“回马枪”，随后19人被问责.txt,133.7538682
0226am,国务院：免征湖北境内小规模纳税人增值税3个月 其他地区降至1%.txt,180.1172975
0226am,湖北保卫战.txt,52.22223023
0226am,世卫组织专家组代表：中国应对疫情措施体现制度优势 感谢中国人民付出.txt,75.68575666
0226pm,湖北省防控指挥部再调整 王辰李兰娟院士担重任.txt,145.9496124
0226pm,国务院：免征湖北境内小规模纳税人增值税3个月 其他地区降至1%.txt,180.1172975
0226pm,确诊病例为负数，荆门市委书记、市长被诫勉，多人被处分.txt,37.5352828
0227am,湖北省防控指挥部再调整 王辰李兰娟院士担重任.txt,145.9496124
0227am,湖北省委书记：不论涉及谁，一查到底！.txt,71.76399414
0227am,国家卫健委：2月26日新增确诊病例433例 其中湖北省新增确诊病例409例.txt,40.94211276
0227am,确诊病例为负数，荆门市委书记、市长被诫勉，多人被处分.txt,37.5352828
0227pm,中国抗疫的这一幕，震撼了世卫专家.txt,246.4873775
0227pm,湖北省防控指挥部再调整 王辰李兰娟院士担重任.txt,145.9496124
0227pm,“离汉抵京确诊新冠肺炎当事人”女儿首发声：相信调查结果.txt,200.5513464
0227pm,确诊病例为负数，荆门市委书记、市长被诫勉，多人被处分.txt,37.5352828
0228am,中国抗疫的这一幕，震撼了世卫专家.txt,246.4873775
0228am,31省区市新增327例新冠肺炎 累计报告78824例新冠肺炎.txt,31.0322122
0228am,“离汉抵京确诊新冠肺炎当事人”女儿首发声：相信调查结果.txt,200.5513464
0228am,意外！中国战疫在澳大利亚产生奇妙反应.txt,253.6252852
0228pm,中国抗疫的这一幕，震撼了世卫专家.txt,246.4873775
0228pm,“离汉抵京确诊新冠肺炎当事人”女儿首发声：相信调查结果.txt,200.5513464
0228pm,战“疫”时期，中国元首外交这样开展.txt,485.1652787
0229am,武汉市委书记王忠林:现在不允许我们慢吞吞地做了.txt,40.37232314
0229am,战“疫”时期，中国元首外交这样开展.txt,485.1652787
0229pm,微视频：战武汉.txt,105.374861
0229pm,新冠疫情会怎样结束？美媒：可能有4种方式.txt,54.83785632
0229pm,首次发布！湖北疫情风险等级评估报告出炉.txt,72.11479652
0229pm,战“疫”时期，中国元首外交这样开展.txt,485.1652787
0301am,微视频：战武汉.txt,105.374861
